Key,Português [pt-BR]
ABILITY_CARD_RemoteDetonation,Detonação Remota
ABILITY_CARD_ExtraFuel,Combustível Extra
ABILITY_CARD_MechSuit,Traje Mecânico
ABILITY_CARD_DustCloud,Nuvem de poeira
ABILITY_CARD_DrillFist,Punho de Perfuração
ABILITY_CARD_MicroMissiles,Micro Mísseis
ABILITY_CARD_InsultToInjury,Insulto a Lesão
ABILITY_CARD_GutPunch,Soco no intestino
ABILITY_CARD_TheBiggerOne,O Maior ainda
ABILITY_CARD_CollateralDamage,Dano Colateral
ABILITY_CARD_WholesaleDestruction,Destruição por atacado
item_name_oakcharm,Amuleto de Carvalho
item_oakcharm,"Durante seu turno, realize uma ação <nobr>""Abençoar <sprite name=Bless>,</nobr> <nobr>Alcance <sprite name=Range> 5""</nobr>."
item_name_blackcandle,Vela Negra
item_blackcandle,"Durante seu ataque à distância, adicione <nobr>MALDIÇÃO <sprite name=Curse> a um único ataque."
item_name_robesofcommand,Vestes de Comando
item_robesofcommand,"Durante seu turno, um aliado adjacente pode realizar uma ação <nobr>""Ataque <sprite name=Attack> 2</nobr>""."
item_name_barbedaxe,Machado farpado
item_barbedaxe,"Durante seu ataque, adicione <nobr>FERIMENTO <sprite name=Wound></nobr> a toda a ação de ataque."
item_name_bladedarmor,Armadura de Lâminas
item_bladedarmor,"Ao receber dano de um ataque, ganhe <nobr>Escudo <sprite name=Shield> 2</nobr> para o ataque e o atacante sofre 2 de dano."
item_name_ringofrestoration,Anel de Restauração
item_ringofrestoration,"Durante seu turno, execute uma ação <nobr>""Curar <sprite name=Heal> 3,</nobr> <nobr>Alcance <sprite name=Range> 5""</nobr>."
item_name_ringofstrength,Anel da Força
item_ringofstrength,"Durante seu turno, ganhe <nobr>FORTIFICAR<sprite name=Strengthen>."
item_name_chainarmor,Cota de Malha
item_chainarmor,"Durante seu turno, ganhe <nobr>Escudo <sprite name=Shield> 1</nobr> pelo resto da rodada."
item_name_throwinghammer,Martelo de arremesso
item_throwinghammer,"Durante seu ataque à distância, adicione <nobr>ATORDOAR <sprite name=Stun> a um único ataque."
item_name_jetboots,Botas a jato
item_jetboots,"Durante o movimento, adicione <nobr>+1 Mover <sprite name=Move></nobr> e <nobr>Saltar <sprite name=Jump> </nobr>a um único movimento."
item_name_weatheredboots,Botas Desgastadas
item_weatheredboots,"Durante seu movimento, adicione <nobr>+1 Mover <sprite name=Move> </nobr>a um único movimento."
EVENT_ROAD_JOTL_01_INTRO,"Existe um ditado: ""Mexa com o Leão Adormecido e você será esfaqueado."" Hoje é um daqueles dias em que você ganha aquele desconto na bebida.

Você bate na porta de Xain, um Orchid que passou de dar garantias para dar desculpas. Ele abre a porta e você o avisa que é hora de pagar a conta.

""Ah, vamos lá, ele enviou vocês? Certo, certo... o problema é que você está um dia adiantado. Tenho muito ouro vindo em minha direção, uma grande quantidade de algumas apostas. Dinheiro garantido.""

Você percebe algumas malas no corredor. Xain fala. ""Ah, isso não é nada. Era apenas o meu plano B, nada demais. Não precisa mais disso. Estou rolando em dinheiro! Ou pelo menos, estarei amanhã. Caramba, eu até estaria disposto a lhe jogar algo pelo atraso."""
EVENT_ROAD_JOTL_01_OPTION_A,Não acredito. Ele deve pagar agora.
EVENT_ROAD_JOTL_01_OPTION_B,Um pouco de confiança ajuda bastante. Volte amanhã.
EVENT_ROAD_JOTL_01_RESULT_A,"Você sacode Xain para cair o que quer que ele tenha nele. Ele se queixa de não ter o ouro, mas você junta o suficiente para pagar a maior parte da dívida dele. Para compensar a diferença, você se pega uma de suas bugigangas na saída. Pode ser útil, ou você pode simplesmente penhorar por algum dinheiro para beber."
EVENT_ROAD_JOTL_01_RESULT_B,"Você entra no Leão Adormecido no dia seguinte e encontra Xain esperando por você. Ele está ostentando um conjunto de anéis de ouro grossos, e um colar ostensivo pendurado no pescoço, captando a luz.



""Amigos! Haha! Bem-vindo, as bebidas são por minha conta! Eu disse que estaria rolando nele! Ah, e uma pequena gorjeta pela sua confiança..."""
EVENT_ROAD_JOTL_02_INTRO,"Por um longo tempo, você trazia sua roupa suja para os Savvas ao longo do rio pela Ala das Escamas. Mas depois de sua última batalha com algumas víboras gigantes, os Savvas se recusaram a aceitar fazer negócio com você, com medo por não saber onde o sangue terminava e o veneno começava. Recentemente, você tem levado sua roupas para um Quatryl atarracado que administra uma lavanderia automática. Ele não se importa com a condição do que você deixa suas roupas ou faz perguntas sobre como elas ficaram assim.

""Olá de novo!"" ele grita com um sorriso cheio de dentes enquanto você entra. Mas então, percebendo os olhares desconfortáveis de seus clientes mais delicados com a visão do veneno pingando de sua armadura no chão, ele acrescenta "".. .err, pela primeira vez. Como posso ajudar?"""
EVENT_ROAD_JOTL_02_OPTION_A,Deixe suas roupas sujas e armaduras para limpeza e conserto.
EVENT_ROAD_JOTL_02_OPTION_B,Pegue a dica e volte mais tarde.
EVENT_ROAD_JOTL_02_RESULT_A,"Você entrega suas roupas e armaduras, e as máquinas começam a trabalhar, mergulhando suas vestimentas em caldeirões quentes de água e sabão, torcendo-as e golpeando-as com rajadas de vapor. O Quatryl identifica buracos ou rasgos e enfileira braços de costura automáticos para reparar cada problema. Todo o processo afunila em um complicado tear de fios que de alguma forma dobra suas roupas em um pacote apertado para entrega, e uma calha joga a pilha de volta para você, deixando escapar um último vapor de satisfação."
EVENT_ROAD_JOTL_02_RESULT_B,"Você age confuso e perdido, finge estar procurando o arsenal, e então volta algumas horas depois para ver o Quatryl. ""Todo o dinheiro está nas roupas extravagantes, mas todo o desafio está em armaduras manchadas de sangue."" Como agradecimento por sua discrição, ele lhe oferece um presente: um item de outro aventureiro que nunca voltou para reivindicá-lo."
EVENT_ROAD_JOTL_03_INTRO,"""Quero que você saiba, eu vou fazer isso chegar aos ouvidos do Conselheiro Greymare! Ele ficará bastante interessado em ouvir os preços exorbitantes que você está cobrando por uma alfaiataria de rotina! Primitivo! Seu... seu bárbaro de cabeça dura!"" Um homem pequeno e barbudo continua gritando enquanto sai de um alfaiate no Distrito Misto. ""Vou fazer a bainha das minhas próprias roupas. Certamente não pode ser tão difícil se você conseguiu fazer um negócio disso!""

Com isso ele se vira e prontamente tropeça em suas vestes, derrubando os livros encadernados em couro que carregava por toda a rua de paralelepípedos. Pelo menos um deles parece interessante..."
EVENT_ROAD_JOTL_03_OPTION_A,Ajude-o a reunir seus livros espalhados.
EVENT_ROAD_JOTL_03_OPTION_B,Pegue o livro mais interessante na confusão.
EVENT_ROAD_JOTL_03_RESULT_A,"Você entrega o último dos livros enquanto ele se limpa. ""Hmph! Bem, obrigado. É bom conhecê-lo. Eu gostaria que o resto desses mercenários fossem tão úteis quanto você. Talvez haja alguns bons entre vocês. Um sinal da minha gratidão..."""
EVENT_ROAD_JOTL_03_RESULT_B,"Você pega um livro elegante encadernado em couro escuro e vira uma página aleatória:



""... na escuridão de sua caverna, insano e quebrado. Os precursores da Sublevação, um grande exército de demônios, conseguiram trazer uma civilização outrora poderosa e gloriosa ao seu fim completo e absoluto...""



Deve ser algum romance de fantasia. Você larga em um beco e segue em frente."
"
EVENT_ROAD_JOTL_04_INTRO","Você está andando pelas barracas do Mercado Alagado quando uma exibição de frutas exóticas chama sua atenção. O proprietário o guia através de algumas das ofertas: cerejas em grão, melão de sangue - até mesmo uma noz dura que pode ser quebrada para revelar um leite adocicado. Você começa a discutir o que comprar com seus companheiros e a atenção do lojista se volta para outros clientes interessados.

Com o canto do olho, você vê uma jovem Vermling estender a mão para pegar algumas frutas vermelhas de uma cesta de exibição."
EVENT_ROAD_JOTL_04_OPTION_A,Alerte o lojista.
EVENT_ROAD_JOTL_04_OPTION_B,Deixe deslizar. Não é seu problema.
EVENT_ROAD_JOTL_04_RESULT_A,"O lojista afasta a mão do Vermling. ""Aqui, pegue isso e sai fora. E eu não quero ver você na minha barraca por pelo menos uma semana!"" Ele joga para a Vermling uma cabaça de aparência mole, e ela sai correndo. O lojista agradece com um pouco de moeda por sua perspicácia."
EVENT_ROAD_JOTL_04_RESULT_B,"A Vermling enfia um punhado de frutas na boca. O suco escorre pelo queixo da criança enquanto ela corre para longe - mas ela não dá mais do que alguns passos antes de cair no chão, ofegante. O lojista imediatamente percebe o que aconteceu. ""Idiota! Bagas vermelhas de estanho são venenosas!"" Ele se inclina para baixo, jogando uma fruta verde do bolso na boca da Vermling. ""Isso deve neutralizar o veneno."" Depois de um momento, ela volta à vida e dispara para a grade de esgoto mais próxima."
EVENT_ROAD_JOTL_05_INTRO,"“Você está andando ao longo do rio em direção ao quartel quando um Espreitador, de 1,80m de altura com garras assustadoras, sai da água na margem oposta.

De repente, um grito de guerra soa, e você vê um vulto roxo cintilante pular de um prédio próximo, dobrando e rolando para uma parada elegante a poucos metros do problema. Uma mulher Valrath com cabelos esvoaçantes está de pé, uma mortalha cobre seu rosto.

""""Tiss! Tisssss!"""" ela grita, batendo em um estranho instrumento de madeira para a fera. """"Tiss!""""

O Espreitador pausa seu ataque e se vira para a mulher. Este monstro horrível está... confuso? """
EVENT_ROAD_JOTL_05_OPTION_A,Ataque o Espreitador enquanto ele estiver distraído. Esta pode ser a única chance de matá-lo.
EVENT_ROAD_JOTL_05_OPTION_B,Afaste os espectadores e dê espaço à mulher.
EVENT_ROAD_JOTL_05_RESULT_A,"""Enquanto o Espreitador está paralisado pela mulher vestida de roxo e seus ruídos estranhos, você pula e mata a fera aquática. Você se vira para agradecer ao Valrath por sua distração, mas seu rosto é uma mistura de horror e fúria."" você o matou!?"""" ela grita enquanto seus olhos se enchem de lágrimas. """"Era apenas uma criança!""""

Você rapidamente se desculpa e continua até o quartel, deixando a mulher chorando sobre a casca quebrada do Espreitador."""
EVENT_ROAD_JOTL_05_RESULT_B,"Você mantém a multidão assustada à distância e observa enquanto a mulher circula o Espreitador batendo em seu instrumento em um ritmo hipnótico. Você quase também cai em transe enquanto a observa trabalhar, os olhos do monstro seguindo sua dança. Lentamente, o par se aproxima da água, e com um último 'Tissss' o Espreitador recua. Toda a multidão suspira aliviada, e a intrusa acena com a cabeça em agradecimento antes de se virar e desaparecer na multidão."
EVENT_ROAD_JOTL_06_INTRO,"""Novos cartazes de procurados estão surgindo pela cidade procurando alguém que estranhamente se parece com um dos membros do seu grupo. Você precisaria entortar um pouco o nariz dele e talvez colocar um capuz sobre sua cabeça, mas provavelmente poderia coletar as quinze moedas de ouro da recompensa.

Depois de um pouco de brincadeira, todos vocês concordam que seria uma loucura. Mesmo se você convencesse os guardas que o membro do seu grupo era esse bandido e recebesse a recompensa, eles teriam que escapar da prisão depois. Certamente não valeria a pena. É só uma conversa maluca entre bons amigos. Heh. De jeito nenhum, de maneira alguma , não esses amigos. unidos como..."""
EVENT_ROAD_JOTL_06_OPTION_A,Chame os guardas.
EVENT_ROAD_JOTL_06_OPTION_B,"Chame os guardas, em voz alta."
EVENT_ROAD_JOTL_06_RESULT_A,"Você chama os guardas e tenta incriminar seu amigo. Infelizmente, você não consegue manter uma cara séria por tempo suficiente para selar o acordo. Os guardas o repreendem por desperdiçar seu tempo enquanto seu amigo segura um curativo sobre o nariz sangrando."
EVENT_ROAD_JOTL_06_RESULT_B,"Apesar dos protestos de seus amigos, os guardas o prendem. Você recebe a recompensa e faz com que seu amigo pague sua própria fiança. Vocês vão rir dessa brincadeira por anos. A maioria de vocês, pelo menos."
EVENT_ROAD_JOTL_07_INTRO,"""Você decide passar a noite no Porta Marrom, um bar nas Velhas Docas. Sentado no fundo da sala, você vê um velho curvado sobre um conjunto de contas de vidro. Ele alegremente convida você a se sentar em sua mesa. Feliz pela companhia, ele despeja algumas contas em seu punho, colocando o resto cuidadosamente no bolso do peito.

""""Se importa de adivinhar quantas contas eu tenho nesta mão aqui? Faça certo e eu farei valer a pena. É mais difícil do que parece!""""

Ele ri do que você supõe ter sido uma piada, mas antes que você tenha a chance de adivinhar, uma voz sussurra em seu ouvido: """"Sempre são três.""""

Quando você se vira para olhar, não há ninguém lá."""
EVENT_ROAD_JOTL_07_OPTION_A,Acho que uma conta.
EVENT_ROAD_JOTL_07_OPTION_B,Acho que duas contas.
EVENT_ROAD_JOTL_07_OPTION_C,Acho que três contas.
EVENT_ROAD_JOTL_07_OPTION_D,Acho que quatro contas.
EVENT_ROAD_JOTL_07_OPTION_E,Acho que cinco contas.
EVENT_ROAD_JOTL_07_OPTION_F,Vá procurar a voz.
EVENT_ROAD_JOTL_07_RESULT_A,"O velho abre a mão para mostrar três contas de vidro reluzentes. Ele dá uma risadinha, como se fosse uma piada que você deveria ter previsto."
EVENT_ROAD_JOTL_07_RESULT_C,"O velho abre a mão com um toque dramático e um sorriso. ""Você os ouve também, não é? Os primeiros hoje à noite."" Ele ri sozinho e passa o resto da noite perdido em uma bebida, mas não antes de lhe entregar seus ganhos."
EVENT_ROAD_JOTL_07_RESULT_F,"""Você pode ouvir o sussurro mais fraco, como um rugido surdo sobre o artista no palco. Você o segue para fora, pela rua e atrás de um armazém. Agachados sobre um pequeno globo estão dois Aesthers, que se assustam quando você aparece.

Oh, desculpe. Você pode ouvir isso?"""" A Aesther bate no globo de vidro. Em voz baixa, ele murmura, """"Girou o diamente demais..."""" então ignora sua presença inteiramente. Você sai com mais perguntas do que antes."""
EVENT_ROAD_JOTL_08_INTRO,"""Uma nuvem negra de fumaça serpenteia pelo ar sobre o centro da cidade. Você a segue para encontrar uma multidão reunida ao longo da Ponte Silenciosa, aplaudindo e aplaudindo. Empurrando para a frente, você vê duas enormes asas mecânicas de borboleta amarradas a um pequeno Quatryl. .

""""Hoje, os Quatryls conquistam o céu!"""" Ele aperta um botão em seu peito, fazendo com que as asas comecem a bater e mais fumaça saia. As asas ganham velocidade, lançando rajadas de ar sobre os espectadores. Com um sorriso largo, ele se levanta cada vez mais... antes de cair no rio com um respingo dramático."""
EVENT_ROAD_JOTL_08_OPTION_A,Mergulhe para ajudar o Quatryl.
EVENT_ROAD_JOTL_08_OPTION_B,Segure a multidão caso a máquina exploda.
EVENT_ROAD_JOTL_08_RESULT_A,"“Você mergulha através da fumaça ondulante e na água gelada. Os membros do Quatryl estão emaranhados nos destroços de suas asas, mas você é capaz de libertá-lo e fazer um lento progresso em direção à margem do rio.

Seus olhos se arregalam quando ele percebe quem o salvou. """"Vocês caras? Oh, uau, eu sou um grande fã!"""" E enquanto você não pode ter certeza se foi o impacto ou conhecê-lo, ele desmaia. No entanto, você salvou uma vida hoje."""
EVENT_ROAD_JOTL_08_RESULT_B,"""Enquanto os destroços queimam no rio, o corpo flácido do inventor aparece na margem do rio. A multidão preocupada observa em silêncio, temendo o pior.

De repente, os olhos do Quatryl se abrem. """"FUNCIONOU!"""" ele grita. Ele se senta e começa a mexer nos pedaços de maquinaria ainda presos ao peito. """" Eu sei exatamente como consertar isso. Mais alguns ajustes e estarei voando sobre as Montanhas Pescoço de Cobre!"""""""
EVENT_ROAD_JOTL_09_INTRO,"""Seu grupo está vagando no Mercado Afundado quando você se depara com uma comoção dentro de uma das vitrines. Um Vermling morto jaz no chão, morto por um golpe na cabeça.

""""O suspeito Valrath diz: """"O Orchid fez isso!""""
<size=50%>
<size=100%>O suspeito Vermling diz: """"O Valrath está dizendo a verdade!""""
<size=50%>
<size=100%>O suspeito Inox diz: """"Se o Valrath está mentindo, o Vermling está mentindo.""""
<size=50%>
<size=100%>O suspeito Orchid diz: """"Não era o Vermling!""""

Um par de guardas está coçando a cabeça quando um portal se abre a uma curta distância, e um Aesther com um chapéu incomum sai por ele. Ele olha além de você e diz: """"Apenas um deles está dizendo a verdade."""" Antes que você tenha a chance de perguntar mais, ele se foi."""
EVENT_ROAD_JOTL_09_OPTION_A,O Valrath é o assassino.
EVENT_ROAD_JOTL_09_OPTION_B,O Vermling é o assassino.
EVENT_ROAD_JOTL_09_OPTION_C,O Inox é o assassino.
EVENT_ROAD_JOTL_09_OPTION_D,O Orchid é o assassino.
EVENT_ROAD_JOTL_09_RESULT_A,"""Pensando nisso mais tarde, você percebe que se o Valrath estava dizendo a verdade, então o Vermling também estava dizendo a verdade. Só poderia haver um que fosse verdadeiro, então ambos deviam estar mentindo. O Inox devia então estar dizendo a verdade, o que significa que o Orchid estava mentindo sobre não ser o Vermling.

Em retrospecto, parece que você fez a escolha errada e o assassino saiu impune."""
EVENT_ROAD_JOTL_09_RESULT_B,"Os guardas levam o infrator, um Vermling que matou seu irmão pelo dinheiro do seguro. Você se certifica de também de falar mal dos mentirosos Valrath e Orchid também. O Inox recebe pouco mais do que um rude ""obrigado"" dos guardas por seu comentário perspicaz, mas eles ficam felizes em entregar o dinheiro da recompensa para você."
EVENT_ROAD_JOTL_10_INTRO,"""""""Uma bruxa!"""" um estivador Inox xinga alto do canto do Leão Adormecido. """"Ela saiu dos esgotos e transformou o capataz em um...*hic*...em um peixe!"""" Você volta para sua bebida, mas o homem continua gritando: """"Vou apostar três dias de pagamento para quem puder matá-la!"""" De repente, você está interessado em suas divagações.

Você segue as instruções do bêbado que, previsivelmente, o deixam irremediavelmente perdido na rede de esgotos sob Gloomhaven. Você está pensando em fazer um túnel para a superfície quando ouve algo arranhando atrás de você. Você saca suas armas e se vira, pronto para a luta.

Um antigo Valrath está debilmente diante de você, curvado e enrugado com a idade. Uma corda com um peixe seco está pendurada em seu pescoço. Ela ignora suas armas e silenciosamente aponta um dedo retorcido por você, para uma passagem próxima."""
EVENT_ROAD_JOTL_10_OPTION_A,Acabe com ela e reivindique a recompensa.
EVENT_ROAD_JOTL_10_OPTION_B,Ela é apenas uma velha eremita no esgoto. Deixe-a em paz e siga para onde ela apontou.
EVENT_ROAD_JOTL_10_RESULT_A,"Às vezes, os estivadores contam histórias exageradas. Este não é um desses momentos. Antes que você possa usar sua arma, a bruxa está em você como um demônio, arranhando e mordendo. Depois de uma longa batalha, você sai vitorioso e manca de volta para a pousada. O Inox está ainda mais bêbado do que quando você o deixou, mas ele honra sua recompensa - que você o lembra que foi de quatro dias de pagamento. Enquanto você cuida de suas feridas com uma cerveja, você reflete que é uma pena que os estivadores não sejam mais bem remunerados."
EVENT_ROAD_JOTL_10_RESULT_B,"Você dá adeus e começa a descer a passagem, mas a velha segue logo atrás. Ela não estava apontando sua saída, mas, em vez disso, guiando você em direção a uma pequena choupana onde um caldeirão borbulha sobre uma fogueira anêmica. O Valrath serve a cada um de vocês uma xícara da mais deliciosa sopa de peixe que você já provou e, depois de um tempo agradável bebendo em silêncio, você sai sentindo-se muito mais animado. Você se pergunta por que o estivador faria acusações tão indelicadas contra aquele pobre eremita do esgoto."
EVENT_ROAD_JOTL_11_INTRO,"""""""Teste sua força! Você é mais forte que um Inox?""""

Um homem ladra desafios para os transeuntes em uma esquina ao lado de uma máquina de teste de força. Um martelo está pronto para qualquer um corajoso o suficiente para bater na base do dispositivo e tentar tocar a campainha no topo.""""

""""Prêmios fantásticos para os mais fortes, derrota esmagadora para os mais fracos! Apenas cinco moedas de ouro por pancada!"""""""
EVENT_ROAD_JOTL_11_OPTION_A,Dê uma pandaca
EVENT_ROAD_JOTL_11_OPTION_B,Esse Orchid não sabe quem você é? Você não precisa se provar para ninguém - esses jogos são apenas para crianças de qualquer maneira.
EVENT_ROAD_JOTL_11_ROLLRESULT,{0} balança o martelo e marca {1}/{2}
EVENT_ROAD_JOTL_11_RESULT_A,Fracote! Não se machuque.
EVENT_ROAD_JOTL_11_RESULT_B,Nada mal! Boa Pancada.
EVENT_ROAD_JOTL_11_RESULT_C,"DING! ""Incrível! Você é mais forte que um Inox!"""
EVENT_ROAD_JOTL_11_RESULT_D,"Você vai embora, assegurando-se de que já sabe o quão forte você é. Nem as crianças que te provocam do lado de fora ferem seus sentimentos."
EVENT_ROAD_JOTL_11_NEXT,Passe o martelo
EVENT_ROAD_JOTL_11_END,"Você fez o seu melhor, mas se pergunta se o jogo não foi manipulado contra você."
EVENT_ROAD_JOTL_12_INTRO,"You're walking through the Coin District when a woman in green with thick goggles springs from a nearby window and bowls you over. Coins and expensive trinkets scatter as they spill from the robber's pockets. She brushes herself off, then notices two guards peering down the alley, their attention drawn by the commotion.

""Hahaha! That was a good one!"" She laughs dramatically and claps you on the back, making a show of it for the guards. She winces as someone shrieks ""Thief!"" from the window.

The guards break into a run toward you, and the woman mutters, ""Follow my lead, and we all get out of this. Otherwise, we're all getting sent to the Ghost Fortress, got it?"""
EVENT_ROAD_JOTL_12_OPTION_A,Turn her over to the guards.
EVENT_ROAD_JOTL_12_OPTION_B,Let the thief work her charms.
EVENT_ROAD_JOTL_12_RESULT_A,"You point to the thief and open your mouth, but she beats you to the punch. ""They did it! They jumped out that window and nearly trampled me to death!"" She clutches the stolen pearls around her neck. ""Please, guards, arrest them!""

The guards ignore your confused protests and put you in iron cuffs. By the time they turn around to further question their witness, she's already gone. Even after that, it takes a little extra grease before they let you go."
EVENT_ROAD_JOTL_12_RESULT_B,"""They went that way!"" The green-clad woman swoons against the building as the guards approach, pointing farther off into the dark alley. ""Please, you have to do something. I think they killed someone!""

The guards look at each other and charge into the shadows. ""See? That wasn't so hard, was it?"" the burglar quips as she bends down to grab a fallen valuable. ""Here, for your trouble. Now, you'd better clear out before they return."""
EVENT_ROAD_JOTL_13_INTRO,"You enter the Sleeping Lion to find your old friend, Xain, sitting at the bar. The barkeep is doing his best to ignore him. Xain's face lights up as you walk in.

""Friends! My only true companions!"" Xain cheers. ""I assume you're here to pay me my management fee?""

You look at him quizzically. He speaks more slowly. ""My fee? For managing your Guild's reputation. I know you think your actions mainly affect what people think of you, but I'm behind the scenes spreading the good word! Heck, I'm the one who suggested your name in the first place! Branding, y'know? Surely that's worth something."""
EVENT_ROAD_JOTL_13_OPTION_A,Pay Xain for promoting your reputation around town.
EVENT_ROAD_JOTL_13_OPTION_B,"Refuse to pay Xain. You can track your reputation yourself, where did he get the idea that he was important?"
EVENT_ROAD_JOTL_13_RESULT_A,"Xain assures you your reputation is impeccable. ""I've been talking you up quite a bit around town, and the shops might agree to a small discount just so you're seen around their stores."""
EVENT_ROAD_JOTL_13_RESULT_B,"Xain shakes his head. ""Wow, someone's really going to get a ding on their reputation. I'm marking this down.""

He checks a box in a ledger of his, then mutters one more thing as he wanders off: ""This is going to have a real effect on you."""
EVENT_ROAD_JOTL_14_INTRO,"Standing outside the Sanctuary of the Great Oak is a man with a powerful voice. Dressed in white vestments, he shouts to the assembled crowd.

It is time for tithing to the Great Oak! Donate to the preservation of its majesty, and it will bless you with prosperity never before seen!"" He passes a rough-hewn wooden bowl amongst the crowd."
EVENT_ROAD_JOTL_14_OPTION_A,Donate to the Sanctuary of the Great Oak.
EVENT_ROAD_JOTL_14_OPTION_B,Plenty of other people donating. The Sanctuary will have a good week even without your contribution.
EVENT_ROAD_JOTL_14_RESULT_A,"You push to the front, eager to set an example for the rest of the crowd. The Keeper of the Oak gazes at you approvingly as many more follow your lead."
EVENT_ROAD_JOTL_14_RESULT_B,The Keeper of the Oak sees you try to sneak off into the crowd without being noticed. He looks unimpressed and mutters something under his breath.
EVENT_ROAD_JOTL_15_INTRO,"You enter the Sleeping Lion and find Xain, a local barmate who always seems down on his luck for one reason or another, sitting at the counter. The barkeep has just refused to bring him another drink until he pays off his tab, but Xain perks up when he sees you approach.

""Oh, perfect, it's you lot! Seems like this is as good a time as any to cash in on that drink you all owe me. Whaddaya say?""

You don't remember owing him a drink. In fact, you're pretty sure he was supposed to buy your next round after you helped clear an imp out of his garden."
EVENT_ROAD_JOTL_15_OPTION_A,"It's one drink, no need to kick the guy when he's down. Buy it for him."
EVENT_ROAD_JOTL_15_OPTION_B,Remind Xain of the actual score.
EVENT_ROAD_JOTL_15_RESULT_A,"You cough up a few coins to spot Xain a drink, and you see a hint of relief play across his face. After a few rounds, you're having a good enough time that the difference doesn't matter anyway. The real experiences are the friends you made along the way."
EVENT_ROAD_JOTL_15_RESULT_B,"You list off the reasons you don't owe Xain a drink: the time you unglued him from the city walls, the time you delivered his box of vipers to the dockyard, the time he accidentally trapped a demon in his belt buckle, the time you broke up a fight between him and a rock he thought was a Savvas, the time you had to wean him off stamina potions, the time you had to wean him off major stamina potions, and the time you removed the ""harrower hive"" from his kitchen that turned out to be ants from a dropped pie. You sigh, then buy him a drink anyway."
EVENT_ROAD_JOTL_16_INTRO,"A male Inox wearing a brown fur cloak and flanked by two female Valrath bodyguards enters the Sleeping Lion. Heads turn as he approaches your table, and he settles in across from your party. The two bodyguards stand a few feet away, eyeing the rest of the patrons.

""You may call me Rahjek. Pleased to make your acquaintance."" His hand, heavily adorned in bone rings, picks at the grain of the wooden table. ""I have an important caravan coming in to town. Once it arrives, I'd like your assistance in bringing the contents to my warehouse... I require the services of the best. That is you, isn't it?"" A grin reveals rows of sharp teeth.

Something about the whole exchange rubs you the wrong way. What could you provide that these armoured Valraths couldn't?"
"
EVENT_ROAD_JOTL_16_OPTION_A",Agree to help unload the caravan.
EVENT_ROAD_JOTL_16_OPTION_B,Refuse the man. Something is off.
EVENT_ROAD_JOTL_16_RESULT_A,"You arrive at the west gate, but the caravan is nowhere to be found. Rahjek is shouting angrily at his bodyguards - apparently the shipment was stolen in transit. You inquire about payment anyway.

""I'm not going to pay you for doing nothing!"" You press the issue, since you held up your part of the bargain. He eventually passes you a few coins, but makes it clear you won't be working together again. The feeling is mutual."
EVENT_ROAD_JOTL_16_RESULT_B,"He doesn't take kindly to being refused - it seems your response isn't something he encounters often. He stands from the table with a growl: ""You think you're the only mercenaries in this town? I'll find some other idiots to do my bidding."""
EVENT_ROAD_JOTL_17_INTRO,"You are minding your own business in the Sleeping Lion when a rough-looking Inox sea captain rushes up to your table.

""I've been told you're the folks to talk to if one has a problem."" she says. ""A number of goods have gone missing from my ship at the Old Docks. I tracked the thieves to an abandoned warehouse, but I have reason to believe they may be more than I can handle.""

You look up at the huge Inox one more time and then scratch your head. Could be a lucrative opportunity, so long as you don't get killed."
EVENT_ROAD_JOTL_17_OPTION_A,Demand payment upfront.
EVENT_ROAD_JOTL_17_OPTION_B,Accept the job proposal.
EVENT_ROAD_JOTL_17_RESULT_A,"Do I look like a font of money to you? the Inox yells incredulously. Your seat just got incredibly uncomfortable. ""Take the job or don't, but stop wasting my time!"""
EVENT_ROAD_JOTL_17_RESULT_B,"The Inox breathes a sign of relief, then a smile cracks across her face. ""Good to know I can count on you,"" she says. ""We outcasts have to stick together, right?"" You are about to argue with her assessment of you when she produces some extra coin as thanks."
EVENT_ROAD_JOTL_18_INTRO,"You notice a well-dressed Valrath merchant entering the Sleeping Lion, looking completely out of place. He scans the room, grimacing in disgust at any number of the activities going on inside. Eventually, he spots your table and approaches.

""I have need of your services, mercenaries,"" he says through a perfumed handkerchief. He claims there is trouble at the New Docks. It seems there have been some strange happenings no one can explain: goods moving or disappearing altogether, eerie noises, visions of horrible demons. ""I hope you are able to investigate and stop whatever forces may be conspiring to topple our economic supremacy."""
EVENT_ROAD_JOTL_18_OPTION_A,Demand payment upfront.
EVENT_ROAD_JOTL_18_OPTION_B,Accept the job proposal.
EVENT_ROAD_JOTL_18_RESULT_A,"The Valrath looks horrified by your aggressiveness, but he soon cracks under the pressure and throws some coins in your direction. ""Fine, just take care of the problem quickly!"" he demands as he runs from the establishment."
EVENT_ROAD_JOTL_18_RESULT_B,"""Splendid!"" the Valrath says through his handkerchief. It seems a little money can go a long way in this place.

So long as you can get over the smell, he adds as he turns and walks out the door."
EVENT_ROAD_JOTL_19_INTRO,"You are deep into your third drink at the Sleeping Lion when a messenger stomps in from the cold night air. You grumble a bit as the biting wind from the open door reaches your table.

The messenger appears a little lost. He is clearly looking for someone, but he isn't having much luck.

""A Red Guard,"" he hesitantly mumbles. ""Is there a Red Guard somewhere in here?"""
EVENT_ROAD_JOTL_19_OPTION_A,See what the messenger has for you.
EVENT_ROAD_JOTL_19_OPTION_B,Do your best to ignore the man and the wind.
